ID	ABCG2	Type	CancerType
TCGA-XF-A8HD-01A	0.8328452	Tumor	BLCA
TCGA-BT-A20X-01A	0.328391511	Tumor	BLCA
TCGA-ZF-AA52-01A	0.289371882	Tumor	BLCA
TCGA-DK-AA76-01A	0.688256578	Tumor	BLCA
TCGA-GV-A3JW-01A	0.9315378	Tumor	BLCA
TCGA-FD-A3N6-01A	0.26716392	Tumor	BLCA
TCGA-BT-A2LA-11A	1.344661	Normal	BLCA
TCGA-CU-A5W6-01A	0.737107482	Tumor	BLCA
TCGA-DK-A2I4-01A	0.4304411	Tumor	BLCA
TCGA-DK-AA6M-01A	0.535785566	Tumor	BLCA
TCGA-4Z-AA7Y-01A	0.517683818	Tumor	BLCA
TCGA-DK-A3WY-01A	0.775189	Tumor	BLCA
TCGA-E7-A3X6-01A	0.49916721	Tumor	BLCA
TCGA-K4-A3WV-01A	0.158752492	Tumor	BLCA
TCGA-DK-A3IQ-01A	0.5795091	Tumor	BLCA
TCGA-ZF-AA56-01A	0.444347638	Tumor	BLCA
TCGA-CU-A3QU-01A	1.000939242	Tumor	BLCA
TCGA-FD-A6TI-01A	0.6916109	Tumor	BLCA
TCGA-XF-A9T3-01A	0.40772313	Tumor	BLCA
TCGA-FD-A3B3-01A	0.1857824	Tumor	BLCA
TCGA-BT-A20U-11A	1.436573589	Normal	BLCA
TCGA-YF-AA3L-01A	1.895649	Tumor	BLCA
TCGA-K4-A54R-11A	1.740391	Normal	BLCA
TCGA-SY-A9G0-01A	0.868344448	Tumor	BLCA
TCGA-ZF-A9R2-01A	0.343115684	Tumor	BLCA
TCGA-GU-AATQ-01A	0.56088415	Tumor	BLCA
TCGA-FD-A5C1-01A	1.429356072	Tumor	BLCA
TCGA-DK-A2I1-01A	0.38886	Tumor	BLCA
TCGA-CF-A5U8-01A	1.056194	Tumor	BLCA
TCGA-UY-A9PB-01A	0.745317328	Tumor	BLCA
TCGA-DK-A3X1-01A	0.203735691	Tumor	BLCA
TCGA-DK-A1AC-01A	0.6107121	Tumor	BLCA
TCGA-FD-A62N-01A	0.2686378	Tumor	BLCA
TCGA-DK-AA75-01A	1.447018665	Tumor	BLCA
TCGA-XF-A9SL-01A	0.871499809	Tumor	BLCA
TCGA-XF-A9T4-01A	0.2966349	Tumor	BLCA
TCGA-XF-AAN2-01A	1.717876801	Tumor	BLCA
TCGA-BT-A2LD-01A	8.618861	Tumor	BLCA
TCGA-BT-A20N-11A	0.407509361	Normal	BLCA
TCGA-ZF-A9R1-01A	0.258098209	Tumor	BLCA
TCGA-ZF-A9R9-01A	0.436677512	Tumor	BLCA
TCGA-DK-A6AV-01A	0.469531686	Tumor	BLCA
