CancerType	BTLA	CD200	TNFRSF14	NRP1	LAIR1	TNFSF4	CD244	LAG3	ICOS	CD40LG	CTLA4	CD48	CD28	CD200R1	HAVCR2	ADORA2A	CD276	KIR3DL1	CD80	PDCD1	LGALS9	CD160	TNFSF14	IDO2	ICOSLG	TMIGD2	VTCN1	IDO1	PDCD1LG2	HHLA2	TNFSF18	BTNL2	CD70	TNFSF9	TNFRSF8	CD27	TNFRSF25	VSIR	TNFRSF4	CD40	TNFRSF18	TNFSF15	TIGIT	CD274	CD86	CD44	TNFRSF9
PAAD	0.261022092296759	0.38756225401488	-0.193987003797718	0.234916153926332	0.225239170906809	0.0214756419599552	0.332897024658365	0.178734420281176	0.256992382371163	0.290990869421704	0.175466274685136	0.275381846513572	0.321988212939127	0.385373455346835	0.154723284247488	0.25405432679775	-0.052629239854185	0.0673169112101586	0.104846268097827	0.198132567209791	-0.117736334611094	0.387361845397477	0.0571663271559668	0.193397811467058	0.101619815364047	0.193013263569544	-0.130130524220388	0.0831498101380307	0.236162682303373	0.0447465367498358	0.250402829083553	0.104363302214639	-0.01276664396471	-0.212155467342373	0.223471940680047	0.268728039632565	-0.189786425560739	0.158860166348049	-0.0459453812078696	-0.113653659516693	-0.0822405274013699	0.330118731990894	0.263379215148949	0.153532640525317	0.197833618664325	-0.120490049417648	0.168969820938551
PCPG	0.0722818685255168	0.00707215754387607	0.0382544738242928	0.423719614284186	0.0905907792838466	-0.0767847731111597	0.149531743679162	-0.1599572355475	0.0364236736646659	0.0328378205963252	-0.0625284584622411	0.191671768580209	0.0655616809469041	0.194256906722771	0.0508634635924104	0.367891050069208	0.105994376453183	0.215785375392537	-0.0132456851881946	-0.0464006445677804	0.270113607394321	0.0958352968640526	0.0268732656989605	0.00917259237413416	0.12865869484293	-0.206558104877473	0.0589043546679995	0.138053386235897	0.308988347612386	-0.100339692612759	0.0864789689034485	0.0340948442843628	-0.0565491630816257	0.0677803261087527	0.262760923995395	0.0201792773802331	-0.190687586343246	0.543810434051761	0.268138205551226	0.210986138139345	0.0134506884122065	0.11082681281939	0.019202096196662	-0.0167906940686708	-0.000923474730314896	-0.0273885288951262	0.0293168868722993
PRAD	0.148502066541497	0.609950001437474	-0.266968028418403	0.18674233206499	0.401243166771827	0.111569916871315	0.24778285347232	0.0613937826891957	0.141727374159831	0.300007691594259	0.103324411293523	0.349790409369337	0.256587835473721	0.332063959382784	0.327650962441017	0.111332547638067	-0.168126495799777	0.104601071931599	0.130447739816003	0.161272493949326	0.277918806001616	0.231351458046437	0.242606327078623	0.205149207342403	0.0774246003812411	0.154210576064402	0.278362510639193	0.0942306408930964	0.525010770257699	-0.00443150172032848	0.114769536167363	0.157674701880524	0.0564785766162249	0.0997722584024362	0.141280714653721	0.200389387371037	0.152457569170485	0.575666404501494	0.187700185721668	0.454223556436073	-0.22481629479957	0.226565051516293	0.19071911357258	0.322774594709911	0.34784454191517	0.341722487411368	0.163126796054926
READ	0.22035816385978	0.00672818549375908	0.0561089022089456	0.182548904315388	0.142101558268783	0.0281501811480432	0.182783843975556	0.0187204621668451	0.113908977862512	0.137171112181615	0.0098408437584843	0.150859460903716	0.212136294679655	0.176134154381508	0.127665276589432	0.148354806384936	-0.157619723584703	0.205162851435243	0.159753125008129	0.011295578366819	-0.0964488587466121	0.375191499234338	0.148678648318446	0.231326376965976	0.0336361446985	-0.0027124056911457	0.150537809040954	0.0249274182457127	0.131161116183379	0.112577564818961	0.105370490525494	0.0495517044903573	-0.044744982259232	-0.0200220694704886	0.000570727139703258	0.0900309975794781	-0.0346747868233593	0.126213154849152	-0.0935276276337683	0.0423624543192841	-0.0518827826260295	0.133392464619346	0.156567955799634	0.104274347388378	0.168017641199389	-0.0782638716540905	0.0863000523735494
SARC	-0.0774090783204789	0.223688909562385	-0.0291979396911149	-0.0891059719080693	-0.18323739621609	-0.00699591538736649	-0.0588360180186339	-0.0447580610459961	-0.113044750568099	-0.0350989732796405	-0.106602913541928	-0.0673416353416935	-0.138592631976308	-0.0242402639590124	-0.240535480882586	-0.0520826337584622	-0.161050883091272	0.0590857604115214	-0.191010967470419	-0.14902056782732	-0.0627250357225181	0.106059448195825	-0.0881487826692562	0.0989348333009942	-0.167623772216344	0.0106442913743823	0.1320850222979	0.128123847956692	-0.244125989268034	0.0706938966811496	0.136139179980916	0.255631972598509	-0.0868865677900385	-0.0283006150183015	-0.0156005753688657	-0.089548514862744	0.0366403539068063	0.0440243904470903	-0.0991650390787026	-0.0256201791867258	-0.192988396688591	0.00139256946390113	-0.101364171449481	-0.125767177210819	-0.200799595895061	-0.152836184601293	-0.231340037284843
SKCM	0.139731244763724	0.242376728571598	-0.101589017731327	0.182010893308593	0.208464188841547	0.166915970321543	0.137678155738223	0.0995029139564332	0.14548443149663	0.135593712803011	0.126519772562527	0.200959916770046	0.199174019986563	0.186527826593519	0.197773412459451	0.107362809052797	-0.0274254221138635	0.0222602392723849	0.173251889895303	0.104618704329003	0.124690716633051	0.169782377550564	0.143701056523245	0.0974274574317124	0.0342373504180974	0.0839813354821466	-0.0377711535601732	0.11611511913992	0.158902649474854	0.0132016401480838	0.202009888197349	0.107929157878405	0.0677438542926621	7.66030137544639e-05	0.160465095722415	0.135537491788234	0.115887050043181	0.199577987864859	0.135860961355188	0.191520319241166	0.0552942562705476	0.174302933805174	0.155258130072078	0.130170424902463	0.230848948352801	-0.0619757753864246	0.160193276265327
STAD	0.109132057184345	0.16547517801261	-0.0922515643535487	0.0637086162391685	0.0122732619680071	-0.0621343171670343	0.0133044841351234	-0.192225074466222	0.0188184062665416	0.13631297294493	-0.0826404846711586	0.0752288622238302	0.182588449715804	0.107216375742589	-0.0737180084338803	0.0571012950398829	-0.0880565037835573	-0.0732842857796478	-0.0144822440568964	-0.112137039655278	-0.0522647982303236	0.0968126411181263	-0.0357452074408538	0.0602052845331107	0.00683322930087443	0.0252083289437138	-0.0501987530243086	-0.208498922077652	-0.0317635680991467	0.19700007182993	0.118047223628865	0.0907129915950395	-0.125502725301192	-0.322553203698189	0.105299613157263	0.0269302136754689	0.10202357786173	0.127457998462633	-0.0665040713976547	-0.0134166499371185	-0.19630312008424	0.148699687536385	-0.024447542059373	-0.169016686402874	-0.00286903039247329	-0.0073402042420785	0.00846503312861474
TGCT	0.27700717333865	0.711627077043285	-0.469630725527887	0.000981657306755809	-0.217449453586521	0.0251314651935057	-0.373094939585938	-0.313516766977799	-0.218811547568133	-0.457465941586998	-0.342433749612434	-0.394372595768567	-0.415028587568649	-0.374394019756271	-0.165056592709408	0.368871960405833	0.130974439539318	-0.0224251177803088	-0.20342076542803	-0.359670781781396	-0.243394933547237	-0.412286069870323	-0.411636774219955	-0.177147164031808	0.46655119530129	-0.323986925238799	0.111248830677864	-0.127840905092855	-0.286583155397476	-0.0287955699126193	-0.0220300603711702	-0.0310507000056384	0.617011697620286	0.68418624103676	0.843762052524992	-0.386209148604674	-0.531383507814968	-0.2699788175913	-0.302107278008917	-0.358125860389836	-0.17456366369767	-0.156956470712792	-0.288509068940674	-0.254272044640919	-0.227211104393501	-0.185963540384488	-0.157848566124482
THCA	-0.187451160392341	0.0523245969615159	-0.0981444644695347	0.428910113245717	-0.248891542578866	-0.299264493828075	-0.170945211130591	-0.279163677890307	-0.309131441926544	-0.256647980424469	-0.383476684080183	-0.260362889899772	-0.255940880071338	-0.261543593596069	-0.32537625001531	0.0129545705728278	-0.42049414376497	0.0410432149437265	-0.343500394339536	-0.1796110426065	-0.291086916288047	0.114584601240048	-0.291867503671867	-0.0205714954423239	0.0128717718492445	-0.232658984493277	-0.401888074483084	-0.267401785002089	-0.389370369409061	0.0796461717380077	-0.353687338350352	0.0575798715369662	-0.346434864587561	-0.346578186178804	-0.0727386697807346	0.0889017948309336	-0.223741140099349	0.104667696453093	-0.07896714288781	-0.270407356875548	-0.487999942915138	-0.00977401269804212	-0.321124346285372	-0.394151968938524	-0.345743414636335	0.0775336872829701	-0.309909446908273
THYM	-0.0706491280299978	0.0979681907127278	-0.381178527585197	0.610755645718477	-0.301744988215058	-0.188939684997223	-0.308448805273709	-0.210147555294544	-0.250779200627269	-0.0712412600573624	0.0348187153146648	-0.304042409846242	-0.209484769721683	0.198783632114411	-0.0176133260185563	-0.18821421332127	0.325037208530059	0.0380862919110757	0.0759480800050475	-0.367275093633756	-0.541587984838465	0.143490419580665	0.153884438542117	0.0045430673174907	-0.0946602625068719	-0.370722122098925	-0.0678072389975689	-0.14543521965734	-0.179913970890156	0.0663930130724457	0.0361023113737835	0.26613724892542	-0.191432962335442	0.159866765858433	-0.133565468245422	-0.427217884463786	-0.178222237374558	-0.127423277173232	-0.310631253037433	0.373878716240552	-0.289205380267845	0.0645573788755344	0.0334194569583704	0.0230661382030742	0.167211065776606	-0.176798806765461	0.0782847965206341
