ID	ABCG1	ABCG2	ABCG4	ABCG5	ABCG8	Type	CancerType
TCGA-GV-A40E-01A	2.658409	0.8580412	0.1468885	0.01440904	0	Tumor	BLCA
TCGA-FJ-A3Z9-01A	4.187703753	0.604730242	0.017850208	0.020045401	0.068774646	Tumor	BLCA
TCGA-XF-A9ST-01A	2.60593869	4.556648836	0.102095775	0.029421985	0.080683186	Tumor	BLCA
TCGA-FJ-A3ZF-01A	1.419010859	0.653207817	0.334480604	0.110119486	0.151491647	Tumor	BLCA
TCGA-K4-A3WV-11A	2.935352253	1.833204866	0.088257546	0.017938075	0	Normal	BLCA
TCGA-YC-A89H-01A	2.483668378	0.135262536	0.166383933	0.008012736	0	Tumor	BLCA
TCGA-CF-A9FM-01A	4.822897898	1.226536267	0.015925159	0.053003502	0.061473197	Tumor	BLCA
TCGA-DK-A1AD-01A	2.95259359	0.598439395	0.018031231	0.024264355	0	Tumor	BLCA
TCGA-G2-A2EK-01A	3.302145877	0.446558986	0.302038039	0.024157142	0.090605833	Tumor	BLCA
TCGA-E5-A2PC-01A	2.165329175	0.551968332	0.003147077	0.026313487	0.058121024	Tumor	BLCA
TCGA-C4-A0F1-01A	0.612583946	0.185735407	0.033657974	0	0.00998183	Tumor	BLCA
TCGA-FD-A43N-01A	3.206551	0.5320837	0.1023559	0.0485037	0.008581424	Tumor	BLCA
TCGA-BL-A13J-01A	4.09868	0.3965829	0.1836165	0.03631693	0.04931188	Tumor	BLCA
TCGA-FD-A3SO-01A	3.067122106	0.088991238	0.15249951	0.054773037	0	Tumor	BLCA
TCGA-XF-A8HD-01A	2.999762	0.8328452	0.01520527	0.02554046	0.00896426	Tumor	BLCA
TCGA-BT-A20X-01A	1.18884288	0.328391511	0.055242879	0.005921068	0	Tumor	BLCA
TCGA-ZF-AA52-01A	1.754828476	0.289371882	0.024561932	0.030984738	0	Tumor	BLCA
TCGA-DK-AA76-01A	1.855836163	0.688256578	0.034548928	0.038770296	0	Tumor	BLCA
TCGA-GV-A3JW-01A	4.03044	0.9315378	0.0630334	0.6721337	1.157148	Tumor	BLCA
TCGA-FD-A3N6-01A	2.084499424	0.26716392	0.322769668	0.005532837	0.007717286	Tumor	BLCA
TCGA-BT-A2LA-11A	3.499088	1.344661	0.0483534	0.006362354	0	Normal	BLCA
TCGA-CU-A5W6-01A	3.854248127	0.737107482	0.038874478	0.104091346	0.034357236	Tumor	BLCA
TCGA-DK-A2I4-01A	3.442239	0.4304411	0.02977368	0.02236466	0	Tumor	BLCA
TCGA-DK-AA6M-01A	3.204458896	0.535785566	0.096984882	0.01202922	0	Tumor	BLCA
TCGA-4Z-AA7Y-01A	1.291842631	0.517683818	0.030730649	0	0	Tumor	BLCA
TCGA-DK-A3WY-01A	2.689555	0.775189	0.06758851	0.0231431	0.01081447	Tumor	BLCA
TCGA-E7-A3X6-01A	3.27307664	0.49916721	0.026870058	0	0.010597696	Tumor	BLCA
TCGA-K4-A3WV-01A	2.36439955	0.158752492	0.155926537	0.113203135	0.079935075	Tumor	BLCA
TCGA-DK-A3IQ-01A	1.560204	0.5795091	0.1024597	0.02727937	0.009578335	Tumor	BLCA
TCGA-ZF-AA56-01A	2.455993319	0.444347638	0.028121447	0.031566034	0	Tumor	BLCA
TCGA-CU-A3QU-01A	0.648564366	1.000939242	0.168986661	0.006282642	0.017471559	Tumor	BLCA
TCGA-FD-A6TI-01A	2.976972	0.6916109	0.09624325	0.01193453	0	Tumor	BLCA
TCGA-XF-A9T3-01A	1.614005471	0.40772313	0.046251109	0	0	Tumor	BLCA
TCGA-FD-A3B3-01A	1.816566	0.1857824	0.052107	0.02463433	0	Tumor	BLCA
TCGA-BT-A20U-11A	1.411359139	1.436573589	0.507792824	0.010873886	0.015156015	Normal	BLCA
TCGA-YF-AA3L-01A	3.59382	1.895649	0.01569254	0.1513633	0.08412969	Tumor	BLCA
TCGA-K4-A54R-11A	3.463237	1.740391	0.0163986	0.03660069	0	Normal	BLCA
TCGA-SY-A9G0-01A	2.952179316	0.868344448	0.158938729	0.055565544	0	Tumor	BLCA
TCGA-ZF-A9R2-01A	2.770839474	0.343115684	0.005859776	0.04866115	0	Tumor	BLCA
TCGA-GU-AATQ-01A	1.679585262	0.56088415	0	0.032126892	0.150579368	Tumor	BLCA
TCGA-FD-A5C1-01A	3.185782959	1.429356072	0.067777694	0.024852457	0.023140999	Tumor	BLCA
